Source,Target
485,0
485,1
485,2
485,3
485,4
485,5
486,6
486,7
487,6
487,8
487,9
488,10
488,11
488,12
488,13
488,14
488,15
488,16
488,17
488,18
488,19
489,20
489,8
489,21
489,22
489,23
490,6
490,24
490,25
490,26
491,27
492,28
492,29
492,30
492,31
492,32
493,33
493,6
493,34
493,35
493,36
493,37
493,38
494,39
494,40
494,41
494,42
494,43
495,44
495,45
495,46
495,47
495,48
495,49
495,40
495,25
495,50
495,51
495,52
495,53
495,21
495,6
495,54
495,55
495,56
495,57
495,58
495,59
495,60
495,7
495,61
495,62
495,63
495,64
495,65
495,66
496,67
496,68
497,69
497,70
497,71
497,72
497,73
497,74
498,75
498,76
498,77
499,13
500,71
500,78
54,6
54,79
54,55
54,64
54,80
54,81
54,82
54,83
54,58
501,84
501,85
501,86
501,87
501,88
501,89
501,90
501,91
501,92
501,93
501,94
501,95
502,18
502,10
502,14
502,16
502,17
503,6
504,6
504,96
504,97
504,98
504,99
505,100
505,101
505,102
505,103
505,104
505,105
506,84
506,106
506,107
506,88
111,108
111,109
111,110
111,111
111,112
62,40
62,1
62,113
62,114
62,45
62,115
62,8
62,55
62,116
62,20
62,117
62,118
62,64
507,119
507,120
507,121
507,122
507,123
507,124
508,125
509,120
510,126
511,127
511,120
511,128
512,129
513,130
514,131
514,126
514,132
514,133
514,134
514,135
514,136
514,137
514,138
514,139
514,140
514,141
514,142
514,143
514,144
514,145
514,32
514,146
514,147
514,148
514,149
514,150
514,151
514,152
514,153
515,53
515,6
515,154
515,7
515,155
515,97
515,156
515,157
133,132
133,158
133,159
133,160
133,149
133,135
133,161
133,162
133,163
133,164
133,165
133,166
133,151
133,143
133,167
133,144
133,32
133,168
133,169
133,136
133,170
133,171
133,140
133,172
133,173
516,174
516,79
516,175
516,176
516,177
516,178
516,13
516,179
516,180
516,181
516,182
516,183
516,125
516,184
516,185
516,66
516,186
175,176
175,183
175,180
175,181
517,53
517,187
517,25
517,6
517,188
517,189
36,182
36,190
36,47
36,191
36,51
36,192
36,193
36,186
36,53
36,21
36,6
36,194
36,58
36,1
36,7
36,195
36,196
36,184
36,197
36,76
36,198
518,199
519,191
520,32
521,147
12,200
12,201
12,13
12,202
12,15
12,203
139,40
139,6
139,204
139,205
139,206
139,63
139,152
139,207
139,7
139,208
139,209
139,210
522,211
82,212
82,213
82,6
82,214
82,215
82,216
82,55
82,57
82,217
82,81
82,64
523,6
524,218
524,219
524,220
524,221
525,222
525,50
525,223
525,44
525,224
525,225
525,64
526,226
526,227
526,135
143,32
143,149
143,161
129,33
129,228
129,229
129,230
129,231
527,232
527,79
527,233
527,234
527,51
527,47
527,8
527,55
527,154
527,235
527,224
527,191
527,64
527,236
528,237
528,238
529,239
118,6
118,240
118,53
118,182
530,241
530,242
530,243
530,244
530,245
530,246
530,247
530,248
58,249
58,190
58,250
58,79
58,192
58,81
58,191
58,251
58,252
58,113
58,195
58,253
58,51
58,254
58,193
58,255
58,186
58,53
58,21
58,6
58,194
58,8
58,55
58,256
58,3
58,57
58,197
58,213
58,9
58,47
58,7
58,257
58,181
58,215
58,258
58,63
58,103
58,184
58,259
58,260
58,261
58,65
58,64
58,22
531,71
531,262
1,53
1,21
1,6
1,194
1,40
1,263
1,258
1,3
1,7
