Source,Target,Type
0,276,Directed
0,58,Directed
0,132,Directed
0,603,Directed
0,398,Directed
0,555,Directed
1,265,Directed
1,611,Directed
2,265,Directed
2,182,Directed
2,345,Directed
3,608,Directed
3,377,Directed
3,40,Directed
3,352,Directed
3,450,Directed
3,484,Directed
3,299,Directed
3,65,Directed
3,185,Directed
3,228,Directed
557,227,Directed
557,182,Directed
557,90,Directed
557,151,Directed
557,394,Directed
4,265,Directed
4,287,Directed
4,254,Directed
4,336,Directed
5,503,Directed
6,429,Directed
6,163,Directed
6,486,Directed
6,478,Directed
6,518,Directed
7,293,Directed
7,265,Directed
7,305,Directed
7,339,Directed
7,35,Directed
7,444,Directed
7,583,Directed
8,278,Directed
8,434,Directed
8,73,Directed
8,98,Directed
8,369,Directed
9,317,Directed
9,288,Directed
9,206,Directed
9,289,Directed
9,249,Directed
9,593,Directed
9,434,Directed
9,254,Directed
9,550,Directed
9,131,Directed
9,446,Directed
9,89,Directed
9,90,Directed
9,265,Directed
9,15,Directed
9,340,Directed
9,248,Directed
9,229,Directed
9,56,Directed
9,570,Directed
9,189,Directed
9,611,Directed
9,107,Directed
9,23,Directed
9,465,Directed
9,67,Directed
9,351,Directed
9,498,Directed
10,393,Directed
10,258,Directed
11,212,Directed
11,485,Directed
11,264,Directed
11,380,Directed
11,174,Directed
11,259,Directed
12,548,Directed
12,618,Directed
12,310,Directed
13,352,Directed
14,264,Directed
14,326,Directed
15,265,Directed
15,70,Directed
15,340,Directed
15,67,Directed
15,454,Directed
15,505,Directed
15,43,Directed
15,432,Directed
15,56,Directed
16,516,Directed
16,119,Directed
16,400,Directed
16,545,Directed
16,334,Directed
16,237,Directed
16,374,Directed
16,117,Directed
16,274,Directed
16,613,Directed
16,466,Directed
16,75,Directed
17,185,Directed
17,608,Directed
17,450,Directed
17,299,Directed
17,65,Directed
18,265,Directed
408,265,Directed
408,418,Directed
408,581,Directed
408,143,Directed
408,599,Directed
20,324,Directed
20,355,Directed
20,481,Directed
20,238,Directed
20,242,Directed
20,160,Directed
21,516,Directed
21,441,Directed
21,329,Directed
21,334,Directed
22,270,Directed
22,187,Directed
22,104,Directed
22,22,Directed
22,420,Directed
23,434,Directed
23,58,Directed
23,128,Directed
23,257,Directed
23,288,Directed
23,277,Directed
23,182,Directed
23,340,Directed
23,157,Directed
23,227,Directed
23,343,Directed
23,54,Directed
23,67,Directed
24,547,Directed
24,230,Directed
24,502,Directed
24,306,Directed
24,501,Directed
24,591,Directed
25,363,Directed
26,230,Directed
27,424,Directed
28,147,Directed
28,230,Directed
28,527,Directed
29,49,Directed
30,126,Directed
31,285,Directed
31,424,Directed
31,543,Directed
31,357,Directed
31,507,Directed
31,508,Directed
31,491,Directed
31,169,Directed
31,595,Directed
31,41,Directed
31,63,Directed
31,327,Directed
31,266,Directed
31,48,Directed
31,179,Directed
31,546,Directed
31,518,Directed
31,142,Directed
31,449,Directed
31,269,Directed
31,524,Directed
31,488,Directed
31,515,Directed
31,193,Directed
31,315,Directed
32,89,Directed
32,265,Directed
32,183,Directed
32,611,Directed
32,364,Directed
32,581,Directed
32,159,Directed
32,300,Directed
357,543,Directed
357,504,Directed
357,118,Directed
357,430,Directed
357,524,Directed
357,508,Directed
357,164,Directed
357,165,Directed
357,127,Directed
357,395,Directed
357,596,Directed
357,79,Directed
357,515,Directed
357,48,Directed
357,448,Directed
357,179,Directed
357,518,Directed
357,335,Directed
357,307,Directed
357,491,Directed
357,572,Directed
