Source,Target,Type
8.14756E+17,25257489,Directed
8.14756E+17,10228272,Directed
8.14756E+17,1.39306E+18,Directed
8.14756E+17,1.45356E+18,Directed
8.14756E+17,3015573621,Directed
8.14756E+17,1337424932,Directed
8.14756E+17,1.29818E+18,Directed
8.14756E+17,25257489,Directed
25257489,10228272,Directed
25257489,8.14756E+17,Directed
25257489,1.39306E+18,Directed
25257489,1.45356E+18,Directed
25257489,3015573621,Directed
25257489,1337424932,Directed
25257489,1.29818E+18,Directed
1.32679E+18,1.29881E+18,Directed
1.48895E+18,7.76753E+17,Directed
1.48895E+18,4891537774,Directed
1.48895E+18,1.44068E+18,Directed
1.48895E+18,7.76753E+17,Directed
7.76753E+17,4891537774,Directed
1.10111E+18,1.27722E+18,Directed
1.10111E+18,1.27722E+18,Directed
1723161589,9.73912E+17,Directed
1723161589,9.73912E+17,Directed
1.41237E+18,7.48218E+17,Directed
1.41237E+18,19776209,Directed
1.41237E+18,7.48218E+17,Directed
7.48218E+17,19776209,Directed
1.41237E+18,3043609534,Directed
1.41237E+18,7.48218E+17,Directed
7.71252E+17,1.56331E+18,Directed
8.1001E+17,1.36692E+18,Directed
8.1001E+17,1.36692E+18,Directed
1723161589,2156496072,Directed
1723161589,9.73912E+17,Directed
1.10111E+18,1.27722E+18,Directed
8.1001E+17,1.41018E+18,Directed
8.1001E+17,1.41018E+18,Directed
8.1001E+17,1.36692E+18,Directed
1.55343E+18,1.54418E+18,Directed
1.55343E+18,1.54418E+18,Directed
1.2141E+18,1.27615E+18,Directed
1.2141E+18,44196397,Directed
1.2141E+18,1.27615E+18,Directed
1.27615E+18,44196397,Directed
1.48895E+18,1.07695E+18,Directed
1.48895E+18,1.25372E+18,Directed
1.48895E+18,1.07695E+18,Directed
1.47675E+18,2784279217,Directed
1.47675E+18,2784279217,Directed
1.45064E+18,1.36692E+18,Directed
1.45064E+18,1.36692E+18,Directed
8.1001E+17,1.41018E+18,Directed
1.45064E+18,2936766057,Directed
1.45064E+18,2936766057,Directed
2936766057,1.50503E+18,Directed
1.44424E+18,3184185136,Directed
1.44424E+18,3184185136,Directed
1.45064E+18,1337424932,Directed
1.45064E+18,1337424932,Directed
1337424932,1.00722E+18,Directed
1.45064E+18,7.76753E+17,Directed
1.45064E+18,2783798916,Directed
1.45064E+18,7.76753E+17,Directed
7.76753E+17,2783798916,Directed
1.5014E+18,1337424932,Directed
1.5014E+18,1337424932,Directed
1.23928E+18,1.27187E+18,Directed
1.23928E+18,1.27187E+18,Directed
316931183,7.76753E+17,Directed
316931183,2674780621,Directed
316931183,7.76753E+17,Directed
7.76753E+17,2674780621,Directed
1.23928E+18,1.27187E+18,Directed
1.45306E+18,1.36615E+18,Directed
1.45306E+18,1.36615E+18,Directed
316931183,7.76753E+17,Directed
2313980204,1.57115E+18,Directed
2313980204,9.98918E+17,Directed
2313980204,1.57115E+18,Directed
1.57115E+18,9.98918E+17,Directed
2313980204,2805417134,Directed
2313980204,1.57115E+18,Directed
1.23928E+18,7.48218E+17,Directed
1.23928E+18,19776209,Directed
1.23928E+18,7.48218E+17,Directed
1.44424E+18,3184185136,Directed
4714672469,1.36615E+18,Directed
4714672469,1.36615E+18,Directed
1.23928E+18,1.21786E+18,Directed
1.23928E+18,7.48218E+17,Directed
1.55343E+18,1.53622E+18,Directed
1.55343E+18,1.53622E+18,Directed
1.53906E+18,1.08996E+18,Directed
1.53906E+18,1.44005E+18,Directed
