id,Label
4.02449E+14,@pighway
3.68969E+11,@llana2626
7.65596E+14,@daveydelphia76
1.3687E+14,@hasanthehun
8.40079E+14,@renderun2seazer
1.18983E+15,@forevereversley
2.1549E+14,@codeezyt
4.33539E+14,@bigbasil85
1.46653E+14,@jaredkotler
2.84471E+14,@mdiomyx
1.68916E+11,@tomtwit01
1.78418E+14,@lovepaigexoxo
2.152E+14,@ley_rwm
1.33058E+14,@sange168
2.74143E+14,@hopkin_frank
2.07169E+14,@vioettesboi
6.78736E+14,@obeydiosa
1.4816E+15,@rt_feet
1.25962E+14,@oreckys_t
3.43049E+14,@renoomokri
1.94555E+14,@those2lenas
29803936348,@ebraeden
4.5661E+14,@lizschzz
58711572016,@herlove4pearls
2.77604E+14,@papi_trulo
2.34847E+14,@s_grizzlyy
39971549934,@teaandfrozenpea
2.62277E+11,@lovelovemelou
1.04798E+14,@tjinreg
2.59336E+11,@kellidpowers
1.46479E+15,@lavieenrose108
1.97921E+14,@zenobiatilpalmy
2.12957E+14,@mouseinhouse05
3.57224E+11,@zabbott100m
2.52468E+14,@lisacar78228295
72558494982,@csimmsqb
1.92572E+14,@chiqitaypicosa
4.171E+14,@bonitaaboricua_
2.18419E+14,@xshinibi
50245567013,@elkehol
1.50692E+14,@patroitawakened
8838497581,@catturd2
1.07414E+14,@elonmusk
2.06756E+14,@kathyupstate
1.61368E+14,@muellershewrote
1.45618E+14,@theleoterrell
1.3346E+14,@kalpesh__tweets
4.25805E+14,@lxvrene
3.88983E+14,@lowkeyalbert
1.17755E+14,@dub1220
71011774235,@graham_sfn
1.23267E+14,@yun_byrm
1.943E+14,@ctrlled
2.31313E+14,@bendyjw
1.43475E+15,@burgerballs9
1.30056E+14,@dysfunking
1.54163E+11,@gladysnunez94
1.66669E+14,@mamamorgann
1.1541E+11,@majesticmaxwel
2.50598E+14,@jai_yellow
17048584270,@obianujuu__
1.17957E+14,@raymondnkannebe
5.85988E+14,@atiku
1.937E+14,@xxxclarkyyxxx
1.01501E+16,@lastspartanking
2.17025E+14,@maryxenophon1
1.64821E+14,@ultradane
1.47227E+15,@gunthereagleman
79667539019,@iluvpaula__
5.71675E+14,@carlg_dev
3.59591E+14,@belaccoke
1.25443E+11,@lensprotocol
2.6542E+14,@alephantee
1.80075E+14,@marioavzquez
1.59186E+15,@lareonis
2.92015E+11,@augustdeyote
1.96174E+14,@abdaniellesmith
4.43201E+14,@sunrickbell
2.43819E+14,@oh_donny_boy_
3.49651E+11,@pow6490
1.49278E+14,@sunshinebinitie
4.45586E+14,@stokesrj2
1.85048E+15,@isaachayes3
1.4905E+14,@dccomics
58615925843,@compoundingbull
3.00547E+14,@cramertracker
6.14422E+14,@flaqtallorona
1.17703E+14,@miranda06170699
3.24274E+14,@gabrielysd83
82813671947,@osmerlin62
2.17143E+14,@bombinight
4.18445E+14,@unamentirosaa
3.17227E+14,@nocqponercsm
1.8432E+14,@otranenalinda
3.17646E+14,@luisitoxds
3.09265E+14,@sufrida_23
1.7379E+14,@9rg_lol
1.6139E+14,@froufrou1949
31769674454,@benny_mrx
3.28272E+14,@honeckerleia
1.24002E+14,@janimiiru
2.27991E+14,@shockon1
1.24627E+15,@yinkalayioye
1.134E+14,@officialmisskdk
1.39339E+14,@onzurum
5.03836E+14,@marvymichaelz
2.13966E+11,@tochi_oke
39106648118,@dabiggestdunk
6.33846E+14,@game7snxg
3.53755E+14,@xashyria
1.6801E+11,@xtasoo
1.63604E+14,@xsinsyt
1.10002E+15,@kiddydimmy
1.2273E+14,@candeegirl_
6979393237,@tea_witdre
1.51999E+14,@beingsalmankhan
1.15698E+14,@colorstv
2.58114E+14,@endemolshineind
1.7321E+14,@wexlerrules
2.04654E+11,@clay_senator
1.17545E+14,@psltoflushing
1.52884E+15,@i_moxxie
2.65472E+11,@minaetea
1.57179E+14,@girlsday312
72919441588,@mtaibbi
4.79218E+14,@marcus43265385
1.95404E+14,@_nyynews
1.83628E+11,@boomerwells33
1.08299E+11,@brokewriter89
6.26738E+14,@kerrickduchy
1.61648E+14,@ivanestradasal1
1.33214E+14,@dd0novan
4.89429E+14,@umbeckyy
4.17758E+14,@walescomiccon
3.36112E+14,@jessicatrosen
1.38305E+14,@rexchapman
4.48819E+14,@chucksm11835550
3.29314E+14,@billspodcast17
7.8727E+14,@builtinbuffalo_
2.39772E+11,@croteam17
3.40817E+14,@ellektrikk
5.92941E+14,@nottheoneortwo
2.73955E+14,@west1116c
1.60513E+14,@theeebambi2
1.67285E+14,@lovecraftcuntry
3.25329E+11,@mcwm
68177874032,@semaforben
4.67456E+14,@maxwelltani
2.38235E+14,@oneunderscore__
1.2049E+14,@wtfitsj
1.61048E+15,@mmeatloaf7
7144906559,@mike_suave167
3.77989E+14,@_annastesia
1.98175E+14,@justcallmeoprah
1.10247E+11,@rubenva65000956
5.84782E+14,@realsaltyslim
1.28177E+14,@ronfilipkowski
5.71384E+14,@mrcatfr
1.73933E+11,@auba_blaadclaat
43473682279,@thee_director
1.35004E+14,@francisk_254
1.60531E+14,@lordessjohjoh
2.81111E+14,@kenyans
49760289966,@spy02108291
2.98416E+11,@jjeungg606___
1.4512E+15,@bootslave237
1.33666E+14,@queenmedusa551
3.3867E+14,@yuleheibel
3.5271E+11,@normonics
13166590145,@dklanc12
2.01729E+14,@ann91237283
2.12719E+14,@ken_nieman
3.84108E+14,@bowtiedbroseidn
3.21602E+14,@jbm1929
2.05934E+14,@parthso03370932
1.38419E+14,@userdead_lol_
2.31256E+14,@artdumptruck
3.58948E+14,@birdrespecter
5.04998E+14,@mokhalatte
1.42743E+14,@theehonestandy
2.3287E+11,@stevedeleeuw
2.95895E+14,@mygnarlybeard
1.95072E+14,@perc30shorty
1.0687E+14,@jacquexomarie
1.15974E+14,@binestom
4.88966E+14,@_atomhlokifan
5.6159E+14,@chrono_fan
1.42519E+11,@brfootball
21717766712,@1phd_engineer
1.33042E+14,@abughazalehkat
1.87702E+14,@tagg_teflon
1.28605E+14,@rudelilmf
1.32198E+14,@suburbhermit99
3.80872E+11,@jasminexeth
2.2962E+11,@therealblacknet
4.00008E+14,@proximasan
5.62807E+14,@sunflowersoul18
3.08826E+14,@cree_eight_iv
1.27639E+14,@cattisanerd
1.34049E+14,@seapernatural
59699097994,@paule0012
3.49649E+14,@joogis3
1.20283E+14,@tunnykvng
3.95832E+14,@kristiangs
1.33125E+14,@uhcaribe
86672264842,@itsrexzo
1.17098E+14,@shake_n_blake93
3.3665E+14,@wearecavsnation
1.56667E+15,@sichrismannix
2.59026E+14,@lewix__
2.87928E+14,@teamvitality
3.51194E+14,@shynouh
7.29547E+14,@otp_lol
48543634386,@rebeudeter
4.47225E+14,@weesiie
3.45163E+14,@just_mlle
3.56522E+14,@peaxytv
3.57924E+14,@penwingstar
1.82148E+14,@shivkisenaa
87171216223,@youtubermrjoy
2.0846E+14,@sandskrithands
1.29826E+14,@in01970
3.8073E+14,@scooperon7
1.33129E+14,@7news
